id,name,state_id,in_state_tuition,out_state_tuition,acceptance_rate,designation,size,midpoint_ACT,midpoint_SAT,school_site
100654,Alabama A & M University,1,9096,16596,0.5256,1,4206,17,827,www.aamu.edu/
100663,University of Alabama at Birmingham,1,7510,17062,0.8569,1,11383,24,1107,www.uab.edu
100690,Amridge University,1,6900,6900,,2,291,,,www.amridgeuniversity.edu
100706,University of Alabama in Huntsville,1,9158,21232,0.8203,1,5451,27,1219,www.uah.edu
100724,Alabama State University,1,8720,15656,0.5326,1,4811,18,851,www.alasu.edu
100751,The University of Alabama,1,9826,24950,0.5105,1,29851,27,1185,www.ua.edu/
100760,Central Alabama Community College,1,3491,6576,,1,1592,,,www.cacc.edu
100812,Athens State University,1,,,,1,2991,,,www.athens.edu
100830,Auburn University at Montgomery,1,9080,19640,0.8017,1,4304,22,1009,www.aum.edu
100858,Auburn University,1,10200,27384,0.8347,1,20514,27,1215,www.auburn.edu
100937,Birmingham Southern College,1,31708,31708,0.5339,2,1180,27,1181,www.bsc.edu/
101028,Chattahoochee Valley Community College,1,4320,7710,,1,1727,,,www.cv.edu
101073,Concordia College Alabama,1,10320,10320,0.5328,2,322,21,942,www.ccal.edu/
101116,South University-Montgomery,1,16360,16360,,3,522,,,southuniversity.edu
101143,Enterprise State Community College,1,3976,7140,,1,1729,,,www.escc.edu
101161,James H Faulkner State Community College,1,4260,7650,,1,4286,,,www.faulknerstate.edu
101189,Faulkner University,1,18750,18750,,2,2367,,,www.faulkner.edu
101240,Gadsden State Community College,1,3168,5880,,1,4917,,,www.gadsdenstate.edu
101277,New Beginning College of Cosmetology,1,,,,3,115,,,www.nbccosmetology.com
101286,George C Wallace State Community College-Dothan,1,3960,7350,,1,4293,,,www.wallace.edu
101295,George C Wallace State Community College-Hanceville,1,4260,7650,,1,4920,,,www.wallacestate.edu
101301,George C Wallace State Community College-Selma,1,3960,7350,,1,1513,,,www.wccs.edu
101365,Herzing University-Birmingham,1,12790,12790,1,3,302,,,www.herzing.edu/
101435,Huntingdon College,1,24550,24550,0.5839,2,1149,22,1026,www.huntingdon.edu
101453,Heritage Christian University,1,9792,9792,1,2,62,,,www.hcu.edu
101462,J F Drake State Community and Technical College,1,3384,6096,,1,974,,,www.drakestate.edu
101480,Jacksonville State University,1,7092,13884,0.8326,1,7060,23,1041,www.jsu.edu/
101499,Jefferson Davis Community College,1,3968,7358,,1,1033,,,www.jdcc.edu
101505,Jefferson State Community College,1,4320,7710,,1,7443,,,www.jeffstateonline.com
101514,John C Calhoun State Community College,1,4260,7650,,1,9380,,,www.calhoun.edu
101541,Judson College,1,16258,16258,0.6525,2,376,,,www.judson.edu
101569,Lawson State Community College-Birmingham Campus,1,4290,7710,,1,2905,,,www.lawsonstate.edu
101587,University of West Alabama,1,8018,14886,0.7199,1,1916,21,990,www.uwa.edu
101602,Lurleen B Wallace Community College,1,4230,7620,,1,1393,,,www.lbwcc.edu
101648,Marion Military Institute,1,8778,14778,0.6139,1,433,22,1055,www.marionmilitary.edu
101675,Miles College,1,11604,11604,,2,1778,,,www.miles.edu
101693,University of Mobile,1,19475,19475,0.5847,2,1460,22,1014,www.umobile.edu
101709,University of Montevallo,1,10660,21220,0.743,1,2644,23,1070,www.montevallo.edu
101736,Northwest-Shoals Community College,1,4231,7621,,1,3304,,,www.nwscc.edu
101879,University of North Alabama,1,7412,13268,0.6788,1,5485,22,1029,www.una.edu
101897,Northeast Alabama Community College,1,4260,7650,,1,2225,,,www.nacc.edu
101912,Oakwood University,1,16720,16720,0.4787,2,1878,20,928,www.oakwood.edu
101949,Alabama Southern Community College,1,4260,7650,,1,1180,,,www.ascc.edu
101958,Prince Institute-Southeast,1,9685,9685,,3,84,,,princeinstitute.edu
101994,Reid State Technical College,1,4320,7710,,1,425,,,www.rstc.edu
102030,Bishop State Community College,1,4260,7650,,1,2927,,,www.bishop.edu
102049,Samford University,1,27324,27324,0.5954,2,3033,26,1165,www.samford.edu
102058,Selma University,1,6680,6680,,2,472,,,selmauniversity.edu
102067,Shelton State Community College,1,3960,7350,,1,4755,,,www.sheltonstate.edu
102076,Snead State Community College,1,4320,7710,,1,2098,,,www.snead.edu
102094,University of South Alabama,1,7188,14076,0.8335,1,11267,23,1048,www.southalabama.edu
102234,Spring Hill College,1,32468,32468,0.5177,2,1215,25,1116,www.shc.edu
102261,Southeastern Bible College,1,11370,11370,1,2,170,20,930,www.sebc.edu
102270,Stillman College,1,15865,15865,0.5901,2,1056,17,811,www.stillman.edu
102298,Talladega College,1,12509,12509,,2,819,,,www.talladega.edu
102313,H Councill Trenholm State Community College,1,3336,6048,,1,1230,,,www.trenholmstate.edu
102368,Troy University,1,7564,14092,0.4414,1,15025,23,1050,www.troy.edu
102377,Tuskegee University,1,19570,19570,0.4922,2,2588,22,978,www.tuskegee.edu
102395,United States Sports Academy,1,,,,2,90,,,www.ussa.edu
102429,Bevill State Community College,1,4290,7680,,1,3210,,,www.bscc.edu
102553,University of Alaska Anchorage,2,5494,16466,,1,12865,,,www.uaa.alaska.edu
102580,Alaska Bible College,2,9300,9300,,2,27,,,www.akbible.edu/
102614,University of Alaska Fairbanks,2,5246,16238,,1,5536,,,www.uaf.edu
102632,University of Alaska Southeast,2,5901,16705,,1,1428,,,www.uas.alaska.edu
102669,Alaska Pacific University,2,19610,19610,0.4207,2,275,23,1054,www.alaskapacific.edu
102711,AVTEC-Alaska's Institute of Technology,2,,,,1,889,,,www.avtec.edu/
102845,Charter College-Anchorage,2,19532,19532,,3,3256,,,www.chartercollege.edu
103501,Alaska Career College,2,,,,3,479,,,www.alaskacareercollege.edu
103644,Everest College-Phoenix,3,12204,12204,,3,4102,,,www.everestcollegephoenix.edu
103723,Collins College,3,,,,3,83,,,www.collinscollege.edu
103732,Empire Beauty School-Paradise Valley,3,,,,3,25,,,www.empire.edu
103741,Empire Beauty School-Tucson,3,,,,3,126,,,www.empire.edu
103778,Thunderbird School of Global Management,3,,,,2,1,,,www.thunderbird.edu
103787,American Indian College Inc,3,11700,11700,,2,89,,,www.aicag.edu/
103811,American Institute of Technology,3,,,,3,266,,,www.ait-schools.com
103893,Carrington College-Phoenix,3,,,0.9904,3,617,,,www.carrington.edu
103909,Carrington College-Mesa,3,,,1,3,718,,,www.carrington.edu
103927,Carrington College-Tucson,3,,,1,3,424,,,www.carrington.edu
103945,CollegeAmerica-Flagstaff,3,16968,16968,,2,176,,,www.collegeamerica.edu
103954,Arizona Academy of Beauty-East,3,,,,3,32,,,www.arizonaacademy.com
103963,Arizona Automotive Institute,3,,,,3,628,,,www.aai.edu
104090,Brookline College-Phoenix,3,,,,3,1357,,,www.brooklinecollege.edu
104151,Arizona State University-Tempe,3,10157,24503,0.8433,1,39316,25,1145,www.asu.edu/
104160,Arizona Western College,3,2480,8085,,1,7218,,,www.azwestern.edu
104179,University of Arizona,3,10957,29421,0.7462,1,32646,,,www.arizona.edu
104188,Southwest University of Visual Arts-Tucson,3,23069,23069,,3,161,,,www.suva.edu
104346,Central Arizona College,3,2400,10440,,1,5275,,,www.centralaz.edu
104364,Brown Mackie College-Tucson,3,13203,13203,,3,611,,,www.brownmackie.edu
